~WorkID~,~ChapterID~,~Section~,~Chapter~,~Description~
~12night~,18704,1,1,~DUKE ORSINO&#8217;s palace.~
~12night~,18705,1,2,~The sea-coast.~
~12night~,18706,1,3,~OLIVIA&#8217;S house.~
~12night~,18707,1,4,~DUKE ORSINO&#8217;s palace.~
~12night~,18708,1,5,~OLIVIA&#8217;S house.~
~12night~,18709,2,1,~The sea-coast.~
~12night~,18710,2,2,~A street.~
~12night~,18711,2,3,~OLIVIA&#8217;s house.~
~12night~,18712,2,4,~DUKE ORSINO&#8217;s palace.~
~12night~,18713,2,5,~OLIVIA&#8217;s garden.~
~12night~,18714,3,1,~OLIVIA&#8217;s garden.~
~12night~,18715,3,2,~OLIVIA&#8217;s house.~
~12night~,18716,3,3,~A street.~
~12night~,18717,3,4,~OLIVIA&#8217;s garden.~
~12night~,18718,4,1,~Before OLIVIA&#8217;s house.~
~12night~,18719,4,2,~OLIVIA&#8217;s house.~
~12night~,18720,4,3,~OLIVIA&#8217;s garden.~
~12night~,18721,5,1,~Before OLIVIA&#8217;s house.~
~allswell~,18722,1,1,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18723,1,2,~Paris. The KING&#8217;s palace.~
~allswell~,18724,1,3,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18725,2,1,~Paris. The KING&#8217;s palace.~
~allswell~,18726,2,2,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18727,2,3,~Paris. The KING&#8217;s palace.~
~allswell~,18728,2,4,~Paris. The KING&#8217;s palace.~
~allswell~,18729,2,5,~Paris. The KING&#8217;s palace.~
~allswell~,18730,3,1,~Florence. The DUKE&#8217;s palace.~
~allswell~,18731,3,2,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18732,3,3,~Florence. Before the DUKE&#8217;s palace.~
~allswell~,18733,3,4,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18734,3,5,~Florence. Without the walls. A tucket afar off.~
~allswell~,18735,3,6,~Camp before Florence.~
~allswell~,18736,3,7,~Florence. The Widow&#8217;s house.~
~allswell~,18737,4,1,~Without the Florentine camp.~
~allswell~,18738,4,2,~Florence. The Widow&#8217;s house.~
~allswell~,18739,4,3,~The Florentine camp.~
~allswell~,18740,4,4,~Florence. The Widow&#8217;s house.~
~allswell~,18741,4,5,~Rousillon. The COUNT&#8217;s palace.~
~allswell~,18742,5,1,~Marseilles. A street.~
~allswell~,18743,5,2,~Rousillon. Before the COUNT&#8217;s palace.~
~allswell~,18744,5,3,~Rousillon. The COUNT&#8217;s palace.~
~antonycleo~,18745,1,1,~Alexandria. A room in CLEOPATRA&#8217;s palace.~
~antonycleo~,18746,1,2,~The same. Another room.~
~antonycleo~,18747,1,3,~The same. Another room.~
~antonycleo~,18748,1,4,~Rome. OCTAVIUS CAESAR&#8217;s house.~
~antonycleo~,18749,1,5,~Alexandria. CLEOPATRA&#8217;s palace.~
~antonycleo~,18750,2,1,~Messina. POMPEY&#8217;s house.~
~antonycleo~,18751,2,2,~Rome. The house of LEPIDUS.~
~antonycleo~,18752,2,3,~The same. OCTAVIUS CAESAR&#8217;s house.~
~antonycleo~,18753,2,4,~The same. A street.~
~antonycleo~,18754,2,5,~Alexandria. CLEOPATRA&#8217;s palace.~
~antonycleo~,18755,2,6,~Near Misenum.~
~antonycleo~,18756,2,7,~On board POMPEY&#8217;s galley, off Misenum.~
~antonycleo~,18757,3,1,~A plain in Syria.~
~antonycleo~,18758,3,2,~Rome. An ante-chamber in OCTAVIUS CAESAR&#8217;s house.~
~antonycleo~,18759,3,3,~Alexandria. CLEOPATRA&#8217;s palace.~
~antonycleo~,18760,3,4,~Athens. A room in MARK ANTONY&#8217;s house.~
~antonycleo~,18761,3,5,~The same. Another room.~
~antonycleo~,18762,3,6,~Rome. OCTAVIUS CAESAR&#8217;s house.~
~antonycleo~,18763,3,7,~Near Actium. MARK ANTONY&#8217;s camp.~
~antonycleo~,18764,3,8,~A plain near Actium.~
~antonycleo~,18765,3,9,~Another part of the plain.~
~antonycleo~,18766,3,10,~Another part of the plain.
~
~antonycleo~,18767,3,11,~Alexandria. CLEOPATRA&#8217;s palace.
~
~antonycleo~,18768,3,12,~Egypt. OCTAVIUS CAESAR&#8217;s camp.
~
~antonycleo~,18769,3,13,~Alexandria. CLEOPATRA&#8217;s palace.
~
~antonycleo~,18770,4,1,~Before Alexandria. OCTAVIUS CAESAR&#8217;s camp.~
~antonycleo~,18771,4,2,~Alexandria. CLEOPATRA&#8217;s palace.~
~antonycleo~,18772,4,3,~The same. Before the palace.~
~antonycleo~,18773,4,4,~The same. A room in the palace.~
~antonycleo~,18774,4,5,~Alexandria. MARK ANTONY&#8217;s camp.~
~antonycleo~,18775,4,6,~Alexandria. OCTAVIUS CAESAR&#8217;s camp.~
~antonycleo~,18776,4,7,~Field of battle between the camps.~
~antonycleo~,18777,4,8,~Under the walls of Alexandria.~
~antonycleo~,18778,4,9,~OCTAVIUS CAESAR&#8217;s camp.~
~antonycleo~,18779,4,10,~Between the two camps.
~
~antonycleo~,18780,4,11,~Another part of the same.
~
~antonycleo~,18781,4,12,~Another part of the same.
~
~antonycleo~,18782,4,13,~Alexandria. Cleopatra&#8217;s palace.
~
~antonycleo~,18783,4,14,~The same. Another room.
~
~antonycleo~,18784,4,15,~The same. A monument.
~
~antonycleo~,18785,5,1,~Alexandria. OCTAVIUS CAESAR&#8217;s camp.~
~antonycleo~,18786,5,2,~Alexandria. A room in the monument.~
~asyoulikeit~,18787,1,1,~Orchard of OLIVER&#8217;S house~
~asyoulikeit~,18788,1,2,~A lawn before the DUKE&#8217;S palace~
~asyoulikeit~,18789,1,3,~The DUKE&#8217;s palace~
~asyoulikeit~,18790,2,1,~The Forest of Arden~
~asyoulikeit~,18791,2,2,~The DUKE&#8217;S palace~
~asyoulikeit~,18792,2,3,~Before OLIVER&#8217;S house~
~asyoulikeit~,18793,2,4,~The Forest of Arden~
~asyoulikeit~,18794,2,5,~Another part of the forest~
~asyoulikeit~,18795,2,6,~The forest~
~asyoulikeit~,18796,2,7,~The forest~
~asyoulikeit~,18797,3,1,~The palace~
~asyoulikeit~,18798,3,2,~The forest~
~asyoulikeit~,18799,3,3,~The forest~
~asyoulikeit~,18800,3,4,~The forest~
~asyoulikeit~,18801,3,5,~Another part of the forest~
~asyoulikeit~,18802,4,1,~The forest~
~asyoulikeit~,18803,4,2,~The forest~
~asyoulikeit~,18804,4,3,~The forest~
~asyoulikeit~,18805,5,1,~The forest~
~asyoulikeit~,18806,5,2,~The forest~
~asyoulikeit~,18807,5,3,~The forest~
~asyoulikeit~,18808,5,4,~The forest~
~comedyerrors~,18809,1,1,~A hall in DUKE SOLINUS&#8217;S palace.~
~comedyerrors~,18810,1,2,~The Mart.~
~comedyerrors~,18811,2,1,~The house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18812,2,2,~A public place.~
~comedyerrors~,18813,3,1,~Before the house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18814,3,2,~The same.~
~comedyerrors~,18815,4,1,~A public place.~
~comedyerrors~,18816,4,2,~The house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18817,4,3,~A public place.~
~comedyerrors~,18818,4,4,~A street.~
~comedyerrors~,18819,5,1,~A street before a Priory.~
~coriolanus~,18820,1,1,~Rome. A street.~
~coriolanus~,18821,1,2,~Corioli. The Senate-house.~
~coriolanus~,18822,1,3,~Rome. A room in CORIOLANUS&#8217; house.~
~coriolanus~,18823,1,4,~Before Corioli.~
~coriolanus~,18824,1,5,~Corioli. A street.~
~coriolanus~,18825,1,6,~Near the camp of Cominius.~
~coriolanus~,18826,1,7,~The gates of Corioli.~
~coriolanus~,18827,1,8,~A field of battle.~
~coriolanus~,18828,1,9,~The Roman camp.~
~coriolanus~,18829,1,10,~The camp of the Volsces.
~
~coriolanus~,18830,2,1,~Rome. A public place.~
~coriolanus~,18831,2,2,~The same. The Capitol.~
~coriolanus~,18832,2,3,~The same. The Forum.~
~coriolanus~,18833,3,1,~Rome. A street.~
~coriolanus~,18834,3,2,~A room in CORIOLANUS&#8217;S house.~
~coriolanus~,18835,3,3,~The same. The Forum.~
